Lake,SampDepthRepID,SampID,Depth,FieldSiteID,Habitat,ZoneHabitat,Family,ScientificName,CommonName,SignalReads,marker,Group
Big Pine,1486s1,1486,surface,BP_f1,fringe,fringe,Fundulidae,Fundulus diaphanus,Banded Killifish,30,Am12S,fish
Big Pine,1486s3,1486,surface,BP_f1,fringe,fringe,Fundulidae,Fundulus diaphanus,Banded Killifish,5360,Ac16S,fish
Big Pine,1486s1,1486,surface,BP_f1,fringe,fringe,Centrarchidae,Lepomis macrochirus,Bluegill,6562,Ac16S,fish
Big Pine,1486s2,1486,surface,BP_f1,fringe,fringe,Centrarchidae,Lepomis macrochirus,Bluegill,33184,Am12S,fish
Big Pine,1486s3,1486,surface,BP_f1,fringe,fringe,Gasterosteidae,Culaea inconstans,Brook Stickleback,10275,Am12S,fish
Big Pine,1486s3,1486,surface,BP_f1,fringe,fringe,Gasterosteidae,Culaea inconstans,Brook Stickleback,5906,Ac16S,fish
Big Pine,1486s2,1486,surface,BP_f1,fringe,fringe,Centrarchidae,Lepomis cyanellus,Green Sunfish,11648,Ac16S,fish
Big Pine,1486s2,1486,surface,BP_f1,fringe,fringe,Percidae,Etheostoma exile,Iowa Darter,3738,Ac16S,fish
Big Pine,1486s2,1486,surface,BP_f1,fringe,fringe,Percidae,Etheostoma exile,Iowa Darter,16522,Am12S,fish
Big Pine,1486s1,1486,surface,BP_f1,fringe,fringe,Centrarchidae,Micropterus salmoides,Largemouth Bass,4168,Ac16S,fish
Big Pine,1486s3,1486,surface,BP_f1,fringe,fringe,Centrarchidae,Micropterus salmoides,Largemouth Bass,8499,Am12S,fish
Big Pine,1486s3,1486,surface,BP_f1,fringe,fringe,Centrarchidae,Lepomis gibbosus,Pumpkinseed,5842,Am12S,fish
Big Pine,1486s3,1486,surface,BP_f1,fringe,fringe,Centrarchidae,Lepomis gibbosus,Pumpkinseed,12946,Ac16S,fish
Big Pine,1486s3,1486,surface,BP_f1,fringe,fringe,Centrarchidae,Ambloplites rupestris,Rock Bass,63,Am12S,fish
Big Pine,1486s1,1486,surface,BP_f1,fringe,fringe,Ictaluridae,Noturus gyrinus,Tadpole Madtom,8453,Ac16S,fish
Big Pine,1487s1,1487,surface,BP_f10,fringe,fringe,Centrarchidae,Lepomis macrochirus,Bluegill,16682,Ac16S,fish
Big Pine,1487s1,1487,surface,BP_f10,fringe,fringe,Centrarchidae,Lepomis macrochirus,Bluegill,26575,Am12S,fish
Big Pine,1487s1,1487,surface,BP_f10,fringe,fringe,Cyprinidae,Pimephales notatus,Bluntnose Minnow,13,Ac16S,fish
Big Pine,1487s3,1487,surface,BP_f10,fringe,fringe,Centrarchidae,Lepomis cyanellus,Green Sunfish,18000,Ac16S,fish
Big Pine,1487s1,1487,surface,BP_f10,fringe,fringe,Percidae,Etheostoma exile,Iowa Darter,11474,Ac16S,fish
Big Pine,1487s2,1487,surface,BP_f10,fringe,fringe,Percidae,Etheostoma exile,Iowa Darter,23605,Am12S,fish
Big Pine,1487s2,1487,surface,BP_f10,fringe,fringe,Centrarchidae,Micropterus salmoides,Largemouth Bass,424,Ac16S,fish
Big Pine,1487s2,1487,surface,BP_f10,fringe,fringe,Centrarchidae,Micropterus salmoides,Largemouth Bass,22287,Am12S,fish
Big Pine,1487s2,1487,surface,BP_f10,fringe,fringe,Centrarchidae,Lepomis gibbosus,Pumpkinseed,8762,Ac16S,fish
Big Pine,1487s3,1487,surface,BP_f10,fringe,fringe,Ictaluridae,Noturus gyrinus,Tadpole Madtom,13533,Ac16S,fish
Big Pine,1487s2,1487,surface,BP_f10,fringe,fringe,Percidae,Perca flavescens,Yellow Perch,4829,Ac16S,fish
Big Pine,1488s2,1488,surface,BP_f11,fringe,fringe,Fundulidae,Fundulus diaphanus,Banded Killifish,907,Am12S,fish
Big Pine,1488s2,1488,surface,BP_f11,fringe,fringe,Centrarchidae,Lepomis macrochirus,Bluegill,1813,Ac16S,fish
Big Pine,1488s2,1488,surface,BP_f11,fringe,fringe,Centrarchidae,Lepomis macrochirus,Bluegill,7121,Am12S,fish
Big Pine,1488s2,1488,surface,BP_f11,fringe,fringe,Cyprinidae,Pimephales notatus,Bluntnose Minnow,375,Ac16S,fish
Big Pine,1488s3,1488,surface,BP_f11,fringe,fringe,Percidae,Etheostoma exile,Iowa Darter,600,Ac16S,fish
Big Pine,1488s2,1488,surface,BP_f11,fringe,fringe,Percidae,Etheostoma nigrum,Johnny Darter,2166,Ac16S,fish
Big Pine,1488s2,1488,surface,BP_f11,fringe,fringe,Percidae,Etheostoma nigrum,Johnny Darter,4470,Am12S,fish
Big Pine,1488s2,1488,surface,BP_f11,fringe,fringe,Centrarchidae,Micropterus salmoides,Largemouth Bass,30986,Am12S,fish
Big Pine,1488s3,1488,surface,BP_f11,fringe,fringe,Centrarchidae,Micropterus salmoides,Largemouth Bass,10801,Ac16S,fish
Big Pine,1488s2,1488,surface,BP_f11,fringe,fringe,Centrarchidae,Lepomis gibbosus,Pumpkinseed,1353,Ac16S,fish
Big Pine,1488s3,1488,surface,BP_f11,fringe,fringe,Centrarchidae,Ambloplites rupestris,Rock Bass,200,Am12S,fish
Big Pine,1488s3,1488,surface,BP_f11,fringe,fringe,Centrarchidae,Ambloplites rupestris,Rock Bass,8243,Ac16S,fish
Big Pine,1488s2,1488,surface,BP_f11,fringe,fringe,Centrarchidae,Micropterus dolomieu,Smallmouth Bass,387,Am12S,fish
Big Pine,1488s3,1488,surface,BP_f11,fringe,fringe,Centrarchidae,Micropterus dolomieu,Smallmouth Bass,1103,Ac16S,fish
Big Pine,1488s1,1488,surface,BP_f11,fringe,fringe,Percidae,Perca flavescens,Yellow Perch,9822,Am12S,fish
Big Pine,1488s2,1488,surface,BP_f11,fringe,fringe,Percidae,Perca flavescens,Yellow Perch,8420,Ac16S,fish
Big Pine,1489s1,1489,surface,BP_f12,fringe,fringe,Fundulidae,Fundulus diaphanus,Banded Killifish,11787,Ac16S,fish
Big Pine,1489s3,1489,surface,BP_f12,fringe,fringe,Fundulidae,Fundulus diaphanus,Banded Killifish,91,Am12S,fish
Big Pine,1489s2,1489,surface,BP_f12,fringe,fringe,Centrarchidae,Lepomis macrochirus,Bluegill,23041,Ac16S,fish
Big Pine,1489s2,1489,surface,BP_f12,fringe,fringe,Centrarchidae,Lepomis macrochirus,Bluegill,47941,Am12S,fish
Big Pine,1489s1,1489,surface,BP_f12,fringe,fringe,Centrarchidae,Lepomis cyanellus,Green Sunfish,6294,Am12S,fish
Big Pine,1489s2,1489,surface,BP_f12,fringe,fringe,Centrarchidae,Lepomis cyanellus,Green Sunfish,9666,Ac16S,fish
Big Pine,1489s1,1489,surface,BP_f12,fringe,fringe,Percidae,Etheostoma exile,Iowa Darter,16859,Am12S,fish
Big Pine,1489s2,1489,surface,BP_f12,fringe,fringe,Percidae,Etheostoma exile,Iowa Darter,16325,Ac16S,fish
Big Pine,1489s2,1489,surface,BP_f12,fringe,fringe,Percidae,Etheostoma nigrum,Johnny Darter,2902,Am12S,fish
Big Pine,1489s1,1489,surface,BP_f12,fringe,fringe,Centrarchidae,Micropterus salmoides,Largemouth Bass,11017,Am12S,fish
Big Pine,1489s2,1489,surface,BP_f12,fringe,fringe,Centrarchidae,Micropterus dolomieu,Smallmouth Bass,1373,Am12S,fish
Big Pine,1489s1,1489,surface,BP_f12,fringe,fringe,Ictaluridae,Noturus gyrinus,Tadpole Madtom,2523,Ac16S,fish
Big Pine,1489s3,1489,surface,BP_f12,fringe,fringe,Ictaluridae,Noturus gyrinus,Tadpole Madtom,14071,Am12S,fish
Big Pine,1490s2,1490,surface,BP_f13,fringe,fringe,Fundulidae,Fundulus diaphanus,Banded Killifish,15878,Ac16S,fish
Big Pine,1490s2,1490,surface,BP_f13,fringe,fringe,Centrarchidae,Pomoxis nigromaculatus,Black Crappie,206,Am12S,fish
Big Pine,1490s1,1490,surface,BP_f13,fringe,fringe,Centrarchidae,Lepomis macrochirus,Bluegill,9649,Ac16S,fish
