OID_,OlsonSiteID,EvalStatus,Lake.Name,LakeClass,Date,Time,latDDM,LonDDM,LatDD,LonDD,SiteType1,Habitat,FieldSiteID,SitePhotoQty,SiteID,SiteDescription1,SiteDescription2,SiteDepth_m,Fish present?,Fish ID,ProbeDepth_m,TempC,Cond_ɥS/cm,Turb_NTU,DO%,DO_mg/L,VegScoreMethod,VegScore,DomVeg,VegNotes,SedType1,SedType2,Weather,Wind_mph,WindDirection,SampleEventCode,SampleSTIS,SampleDepth,gear,sample_qty,filter_qty,DNA_qty,SampDepth_m,Samp_vol_mL
577,eDNAMN2021-577,TS,Loon,2,7/19/2021,14:39,47° 13.870,93°38.6052,47.23117,-93.64342,random,fringe,L_f1,0,1300,veg patch,NA,1,unknown,NA,0.3,25.7,239,1.3,142.6,11.2,visual,3,SAV,"lily, macroalgae, bullrush",silt,NA,overcast,<5,W,21MN_eDNAfsh_L_577fs,1300s,surface,hand or pole grab,3,3,TBD,0,250
578,eDNAMN2021-578,TS,Loon,2,7/19/2021,11:13,47° 13.8372,93°38.0178,47.23062,-93.63363,random,fringe,L_f2,2,1301,veg patch,NA,1.1,unknown,NA,0.3,26.18,240,2,127.7,9.96,visual,3,EM,bullrush,sand,NA,overcast,5,W,21MN_eDNAfsh_L_578fs,1301s,surface,hand or pole grab,3,3,TBD,0,250
579,eDNAMN2021-579,TS,Loon,2,7/19/2021,16:54,47° 14.0268,93°39.1998,47.23378,-93.65333,random,fringe,L_f3,0,1302,veg patch,NA,0.9,unknown,NA,0.3,26,247,0,107,8.31,visual,4,FL/SAV,NA,silt,NA,overcast,<5,SW,21MN_eDNAfsh_L_579fs,1302s,surface,hand or pole grab,3,3,TBD,0,250
587,eDNAMN2021-587,TS,Loon,2,7/19/2021,16:02,47° 14.1822,93°39.147,47.23637,-93.65245,random,fringe,OS_L_f3,2,1303,veg patch,NA,1.1,unknown,NA,0.3,26.2,241,0.7,137.3,10.7,visual,3,EM/SAV,"bullrush, chara, pondweed",silt,NA,overcast,<5,SW,21MN_eDNAfsh_L_587fs,1303s,surface,hand or pole grab,3,3,TBD,0,250
580,eDNAMN2021-580,TS,Loon,2,7/19/2021,17:09,47° 14.034,93°39.066,47.2339,-93.6511,random,fringe,L_f4,0,1304,veg patch,NA,0.5,unknown,NA,0.3,25.3,247,0,125.3,9.82,visual,4,FL/SAV,"lily, chara",silt,NA,overcast,<5,SW,21MN_eDNAfsh_L_580fs,1304s,surface,hand or pole grab,3,3,TBD,0,250
588,eDNAMN2021-588,TS,Loon,2,7/19/2021,15:30,47° 14.2332,93°38.8992,47.23722,-93.64832,random,fringe,OS_L_f4,0,1305,veg patch,docks nearby,1.1,unknown,NA,0.3,26,238,0,145.3,11.2,visual,4,EM/SAV,"characarpet, bullrush",silt,NA,overcast,5,SW,21MN_eDNAfsh_L_588fs,1305s,surface,hand or pole grab,3,3,TBD,0,250
581,eDNAMN2021-581,TS,Loon,2,7/19/2021,17:17,47° 13.99908,93°38.9652,47.23332,-93.64942,random,fringe,L_f5,0,1306,veg patch,NA,0.7,unknown,NA,0.3,26.3,238,0,151,11.4,visual,3,FL,"lily, chara carpet",silt,NA,overcast,<5,SW,21MN_eDNAfsh_L_581fs,1306s,surface,hand or pole grab,3,3,TBD,0,250
583,eDNAMN2021-583,TS,Loon,2,7/19/2021,16:23,47° 13.8648,93°39.2448,47.23108,-93.65408,random,fringe,L_f7,3,1307,veg patch,NA,1.3,unknown,NA,0.3,26.3,247,0,115.7,8.98,visual,4,FL/SAV,lily,silt,NA,overcast,<5,SW,21MN_eDNAfsh_L_583fs,1307s,surface,hand or pole grab,3,3,TBD,0,250
584,eDNAMN2021-584,TS,Loon,2,7/19/2021,14:12,47° 14.0832,93°38.4462,47.23472,-93.64077,random,fringe,L_f8,0,1308,veg patch,NA,1,present,sunfish,0.3,25.5,248,2.5,110.3,8.7,visual,4,SAV/FL,short veg,silt,NA,overcast,<5.,W,21MN_eDNAfsh_L_584fs,1308s,surface,hand or pole grab,3,3,TBD,0,250
585,eDNAMN2021-585,TS,Loon,2,7/19/2021,15:14,47° 13.9218,93°38.7498,47.23203,-93.64583,random,fringe,L_f9,0,1309,veg patch,edge of lily pads,1.5,unknown,NA,0.3,26.1,241,0,129,10.1,visual,3,FL,lily,silt,NA,overcast,0,NA,21MN_eDNAfsh_L_585fs,1309s,surface,hand or pole grab,3,3,TBD,0,250
277,eDNAMN2021-277,TS,Loon,2,7/19/2021,11:20,47° 13.8378,93°38.088,47.23063,-93.6348,random,nearshore,L_n1,1,1310,open water,partial windrow,2.4,unknown,NA,0.3,26.3,239,2.1,131.7,10.22,visual,1,SAV,deep veg,silt,NA,overcast,10-May,W,21MN_eDNAfsh_L_277ns,1310s,surface,hand or pole grab,3,3,TBD,0,250
278,eDNAMN2021-278,TS,Loon,2,7/19/2021,11:01,47° 13.746,93°38.220,47.2291,-93.637,random,nearshore,L_n2,0,1311,open water,NA,2.4,unknown,NA,0.3,26.04,241,1.9,129.2,10.08,visual,4,SAV,NA,silt,sand,overcast,5,W,21MN_eDNAfsh_L_278ns,1311s,surface,hand or pole grab,3,3,TBD,0,250
281,eDNAMN2021-281,TS,Loon,2,7/19/2021,11:27,47° 13.8762,93°38.118,47.23127,-93.6353,random,nearshore,OS_L_n3,0,1312,open water,partial windrow,2.9,unknown,NA,0.3,26.1,239,2.3,135.5,10.5,visual,1,SAV,deep veg,silt,NA,overcast,5,W,21MN_eDNAfsh_L_281ns,1312s,surface,hand or pole grab,3,3,TBD,0,250
280,eDNAMN2021-280,TS,Loon,2,7/19/2021,12:00,47° 13.989,93°38.2908,47.23315,-93.63818,random,nearshore,L_n4,0,1313,open water,NA,2.4,unknown,NA,0.3,25.7,250,2.6,120.4,9.5,visual,1,SAV,NA,silt,NA,overcast,5,NW,21MN_eDNAfsh_L_280ns,1313s,surface,hand or pole grab,3,3,TBD,0,250
64,eDNAMN2021-064,TS,Loon,2,7/19/2021,15:26,47° 14.0148,93°38.814,47.23358,-93.6469,random,open water,L_o2,0,1314,open water,NA,15.6,unknown,NA,9.5,8.92,256,5.6,1.9,0.19,visual,0,NA,NA,NA,NA,overcast,0,NA,21MN_eDNAfsh_L_64ob,1314b,bottom,niskin,3,3,TBD,16,250
64,eDNAMN2021-064,TS,Loon,2,7/19/2021,15:26,47° 14.0148,93°38.814,47.23358,-93.6469,random,open water,L_o2,0,1314,open water,NA,15.6,unknown,NA,0.3,26,243,0.6,124.1,9.07,visual,0,NA,NA,NA,NA,overcast,0,NA,21MN_eDNAfsh_L_64os,1314s,surface,hand or pole grab,3,3,TBD,0,250
65,eDNAMN2021-065,TS,Loon,2,7/19/2021,11:39,47° 13.8738,93°38.37,47.23123,-93.6395,random,open water,L_o3,0,1315,open water,NA,10,unknown,NA,8.5,24.8,250,2.9,110,8.8,visual,0,NA,NA,silt,NA,overcast,5,NW,21MN_eDNAfsh_L_65ob,1315b,bottom,niskin,3,3,TBD,10,250
65,eDNAMN2021-065,TS,Loon,2,7/19/2021,11:39,47° 13.8738,93°38.37,47.23123,-93.6395,random,open water,L_o3,0,1315,open water,NA,10,unknown,NA,0.3,25.6,240,2.4,124.2,9.8,visual,0,NA,NA,silt,NA,overcast,5,NW,21MN_eDNAfsh_L_65os,1315s,surface,hand or pole grab,3,3,TBD,0,250
74,eDNAMN2021-074,TS,Loon,2,7/19/2021,14:24,47° 14.019,93°38.6148,47.23365,-93.64358,random,open water,OS_L_o3,0,1316,open water,NA,14.4,unknown,NA,9.5,9,253,7.4,0.3,0.02,visual,0,NA,NA,NA,NA,overcast,10-May,SW,21MN_eDNAfsh_L_74ob,1316b,bottom,niskin,3,3,TBD,13,250
74,eDNAMN2021-074,TS,Loon,2,7/19/2021,14:24,47° 14.019,93°38.6148,47.23365,-93.64358,random,open water,OS_L_o3,0,1316,open water,NA,14.4,unknown,NA,0.3,25.6,245,1.7,121.4,9.6,visual,0,NA,NA,NA,NA,overcast,10-May,SW,21MN_eDNAfsh_L_74os,1316s,surface,hand or pole grab,3,3,TBD,0,250
66,eDNAMN2021-066,TS,Loon,2,7/19/2021,13:48,47° 13.962,93°38.5152,47.2327,-93.64192,random,open water,L_o4,1,1317,open water,NA,18.8,unknown,NA,9.5,9.3,252,5.9,2.4,0.26,visual,0,NA,NA,NA,NA,overcast,<5,W,21MN_eDNAfsh_L_66ob,1317b,bottom,niskin,3,3,TBD,18,250
66,eDNAMN2021-066,TS,Loon,2,7/19/2021,13:48,47° 13.962,93°38.5152,47.2327,-93.64192,random,open water,L_o4,1,1317,open water,NA,18.8,unknown,NA,0.3,25.6,245,2.1,122.3,9.5,visual,0,NA,NA,NA,NA,overcast,<5,W,21MN_eDNAfsh_L_66os,1317s,surface,hand or pole grab,3,3,TBD,0,250
